1,0,2.339079
1,1,-1.16931
1,2,1.553359
1,3,7.005153
1,4,8.902781
1,5,9.029707
1,6,10.860075
1,7,11.913
1,8,17.087371
1,9,16.508053
1,10,22.701127
1,11,17.522622
1,12,12.061184
1,13,22.869164
1,14,23.226088
1,15,24.309354
1,16,23.646271
1,17,26.850712
1,18,26.454513
1,19,25.847091
1,20,30.510198
1,21,29.368677
1,22,33.197938
1,23,38.557147
1,24,32.291613
1,25,36.444966
1,26,40.348783
1,27,44.268574
1,28,41.403016
1,29,45.481223
1,30,43.829369
1,31,49.764897
1,32,49.693147
1,33,47.493473
1,34,55.229952
1,35,49.223765
1,36,51.53085
1,37,56.937406
1,38,61.719281
1,39,58.746431
1,40,64.617681
1,41,64.26095
1,42,59.587372
1,43,60.081373
1,44,65.617478
1,45,70.069326
1,46,75.387691
1,47,69.628459
1,48,78.703637
1,49,75.745985
